country,total,individuals,family_households,veterans,unaccompanied_youth,latitude,longitude
United States,580000,450000,100000,37000,30000,37.0902,-95.7129
India,1700000,1300000,300000,0,100000,20.5937,78.9629
Brazil,222000,180000,30000,0,12000,-14.235,-51.9253
United Kingdom,280000,220000,40000,5000,15000,55.3781,-3.436
Canada,235000,190000,25000,7000,13000,56.1304,-106.3468
South Africa,200000,150000,30000,0,20000,-30.5595,22.9375
Australia,116000,90000,20000,3000,3000,-25.2744,133.7751
Germany,65000,50000,10000,2000,3000,51.1657,10.4515
Japan,42000,38000,2000,1000,1000,36.2048,138.2529
Mexico,150000,120000,20000,0,10000,23.6345,-102.5528
